DISPLAY_FIRST_LAST,SCHOOL,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,TEAM_NAME,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PTS,AST,REB,PIE,current_avg_salary,age,year_played
Nemanja Bjelica,Fenerbahce,82.0,234.0,5,8,Forward,Kings,2010,2,35,7.2,1.9,3.8,0.089,7150000.0,33,5
Eric Bledsoe,Kentucky,73.0,214.0,10,5,Guard,Pelicans,2010,1,18,11.3,3.7,3.4,0.071,18125000.0,31,10
Bogdan Bogdanovic,Fenerbahce,78.0,220.0,3,13,Guard,Hawks,2014,1,27,9.6,2.3,3.3,0.08,18000000.0,28,3
Bojan Bogdanovic,Fenerbahce,79.0,226.0,6,44,Forward,Jazz,2011,2,31,14.9,1.9,3.9,0.081,18700000.0,32,6
Isaac Bonga,Skyliners Frankfurt,80.0,180.0,2,17,Guard,Wizards,2018,2,39,2.2,0.6,2.1,0.032,1871843.5,21,2
Devin Booker,Kentucky,77.0,206.0,5,1,Guard,Suns,2015,1,13,25.1,4.6,4.0,0.126,32742000.0,24,5
Chris Boucher,Oregon,81.0,200.0,3,25,Forward-Center,Raptors,Undrafted,Undrafted,Undrafted,13.8,1.0,6.4,0.134,6760000.0,28,3
Brian Bowen II,Sydney Kings,78.0,190.0,1,10,Forward-Guard,Pacers,Undrafted,Undrafted,Undrafted,1.5,0.0,0.5,0.171,1669178.0,22,1
Avery Bradley,Texas,75.0,180.0,10,11,Guard,Heat,2010,1,19,8.5,1.4,1.8,0.062,5775875.0,30,10
Tony Bradley,North Carolina,82.0,248.0,3,11,Center-Forward,76ers,2017,1,28,4.8,0.9,4.9,0.121,4409864.5,23,3
Jarrell Brantley,College of Charleston,77.0,250.0,1,5,Forward,Jazz,2019,2,50,0.9,0.1,0.6,0.088,1669178.0,25,1
Mikal Bridges,Villanova,78.0,209.0,2,25,Forward,Suns,2018,1,10,13.7,2.4,4.9,0.104,5828782.0,24,2
Miles Bridges,Michigan State,78.0,225.0,2,0,Forward,Hornets,2018,1,12,9.6,2.0,5.6,0.088,5605262.333333333,23,2
Oshae Brissett,Syracuse,79.0,210.0,1,12,Forward-Guard,Raptors,Undrafted,Undrafted,Undrafted,1.9,0.4,1.4,0.09315472779369628,99020.0,23,0
Malcolm Brogdon,Virginia,77.0,229.0,4,7,Guard,Pacers,2016,2,36,21.6,6.1,4.7,0.125,21666666.666666668,28,4
Dillon Brooks,Oregon,79.0,225.0,3,24,Guard-Forward,Grizzlies,2017,2,45,15.8,2.6,3.0,0.058,11666666.666666666,25,3
Jaylen Brown,California,78.0,223.0,4,7,Guard-Forward,Celtics,2016,1,3,24.7,3.9,5.6,0.132,26250000.25,24,4
Moses Brown,UCLA,86.0,245.0,1,9,Center,Thunder,Undrafted,Undrafted,Undrafted,6.6,0.3,6.5,0.119,1699012.25,21,1
Sterling Brown,Southern Methodist,77.0,219.0,3,0,Guard-Forward,Rockets,2017,2,46,7.6,1.6,4.5,0.082,1620564.0,26,3
Jalen Brunson,Villanova,73.0,190.0,2,13,Guard,Mavericks,2018,2,33,12.2,3.2,3.4,0.125,1732959.0,24,2
Thomas Bryant,Indiana,82.0,248.0,3,13,Center-Forward,Wizards,2017,2,42,14.3,1.5,6.1,0.111,8500000.0,23,3
